# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 81.000000,  0.000000,  5.530000,  7.288353,  1.196409,  0.003243,122.060440,  2.845156,  0.833388,  1.507434,  0.389436,  0.912507, 22.734636,739.714172,  3.751449,  0.119279,  0.302342,  0.578378,  0.120848,  0.253385,  0.674430,  0.072165,  0.927814,  0.039678
 82.000000,  0.000000,  7.610000,  8.691813,  1.204165,  0.001258,210.987061,  3.611635,  0.776894,  1.622404,  0.389258,  0.895617, 33.907291,1792.743408,  3.990532,  0.064859,  0.374056,  0.561085,  0.202074,  0.430814,  0.170093,  0.399064,  0.600908,  0.202754
 83.000000,  0.000000,  8.250000, 11.457024,  1.703154,  0.000788,223.989563,  3.886750,  0.847530,  1.135240,  0.484155,  0.875745, 39.635777,2110.104492,  4.207375,  0.180897,  0.326312,  0.492791,  0.220900,  0.131455,  0.499261,  0.369237,  0.630716,  0.165005
 84.000000,  0.000000,  7.520000,  8.893782,  1.842218,  0.000324,242.069733,  4.259626,  0.941917,  1.034167,  0.443658,  0.871348, 38.278225,2089.135010,  4.435328,  0.220160,  0.315454,  0.464386,  0.232759,  0.434165,  0.438999,  0.126801,  0.873164,  0.074915
 85.000000,  0.000000,  5.830000, 10.027987,  0.767828,  0.001555,144.970047,  3.076784,  0.820589,  1.237745,  0.427420,  0.964455, 35.483192,876.324158,  5.869974,  0.019829,  0.571540,  0.408631,  0.162024,  0.468440,  0.354809,  0.176723,  0.823249,  0.103452
 86.000000,  0.000000,  7.280000,  8.970720,  1.786774,  0.000759,232.112427,  4.170670,  0.941723,  1.002758,  0.400440,  0.704218, 39.717819,2399.511475,  3.842032,  0.276711,  0.269877,  0.453411,  0.230335,  0.496846,  0.395253,  0.107870,  0.892099,  0.066959
 87.000000,  0.000000,  7.550000, 10.802947,  1.142089,  0.001802,173.411697,  3.420835,  0.848000,  1.109661,  0.521769,  0.919035, 38.394180,1424.601440,  4.673588,  0.036047,  0.098828,  0.865125,  0.137346,  0.237234,  0.711199,  0.051525,  0.948433,  0.028400
 88.000000,  0.000000,  5.550000,  9.319938,  0.767659,  0.000443,313.233795,  4.582472,  0.842444,  1.231189,  0.273534,  0.936762, 36.062519,1855.805420,  6.086845,  0.014076,  0.685110,  0.300814,  0.265093,  0.149280,  0.456282,  0.394396,  0.605562,  0.175672
 89.000000,  0.000000,  5.180000,  8.951810,  0.630200,  0.002355, 89.377106,  2.492571,  0.873532,  1.091101,  0.502912,  0.919214, 38.007492,503.662018,  6.744602,  0.031498,  0.819841,  0.148661,  0.145816,  0.291748,  0.408683,  0.299530,  0.700431,  0.149188
 90.000000,  0.000000,  3.790000,  7.698611,  0.747730,  0.000436,181.557190,  3.498304,  0.847055,  1.028740,  0.271490,  0.958405, 37.899902,717.965454,  9.584026,  0.321610,  0.506031,  0.172359,  0.243799,  0.205242,  0.754182,  0.040533,  0.959424,  0.022086
 91.000000,  0.000000,  7.050000, 18.348946,  1.105359,  0.001214,164.240799,  3.275319,  0.820798,  1.485016,  0.444515,  0.969632, 40.130100,1194.161621,  5.519353,  0.047186,  0.041117,  0.911698,  0.127532,  0.124964,  0.270406,  0.604578,  0.395370,  0.243825
